Incident_year,Incident_month,State,Latitude,Longitude,Victim_injury,Provoked_unprovoked,Victim_activity,Shark_common_name,Victim_gender
1928,3,QLD,-19.8,149.05,injured,provoked,Surfing/Boarding,tiger shark,male
1928,4,QLD,-27.51666667,152.9833333,injured,unprovoked,Diving/Snorkelling,bull shark,male
1928,4,NSW,-33.88333333,151.2666667,injured,unprovoked,Swimming,white shark,male
1928,4,NSW,-32.93333333,151.75,fatal,unprovoked,Spearfishing,white shark,male
1928,7,QLD,-10.58333333,142.2166667,injured,unprovoked,Surfing/Boarding,tiger shark,male
1928,12,QLD,-10.58333333,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1929,1,QLD,-19.13333333,146.8333333,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1929,1,SA,-34.41666667,137.9166667,injured,provoked,Surfing/Boarding,wobbegong,male
1929,1,NSW,-33.88333333,151.2666667,fatal,unprovoked,Spearfishing,white shark,male
1929,2,NSW,-35.03333333,150.7166667,injured,provoked,Other,wobbegong,male
1929,2,NSW,-33.93333333,151.25,fatal,unprovoked,Fishing,white shark,male
1929,2,NSW,-33.88333333,151.2666667,fatal,unprovoked,Swimming,white shark,male
1929,2,SA,-34.96666667,138.5,uninjured,unprovoked,Surfing/Boarding,white shark,female
1929,3,QLD,-19.51666667,148.8333333,injured,provoked,Swimming,Unknown,male
1929,3,SA,-34.41666667,137.9166667,injured,unprovoked,Spearfishing,wobbegong,male
1929,3,SA,-34.41666667,137.9166667,injured,unprovoked,Wading,wobbegong,male
1929,3,QLD,-9.416666667,142.5333333,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1929,4,QLD,-21,149.8833333,injured,provoked,Swimming,tiger shark,male
1929,4,QLD,-26.98333333,153.0666667,injured,provoked,Swimming,bull shark,male
1929,4,QLD,-10.11666667,142.1333333,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1929,5,QLD,-10.05,143.0666667,injured,provoked,Spearfishing,tiger shark,male
1929,9,QLD,-10.56666667,142.2166667,injured,provoked,Surfing/Boarding,tiger shark,male
1929,9,QLD,-19.45,146.6,fatal,unprovoked,Surfing/Boarding,bull shark,male
1929,10,QLD,-10.11666667,142.1333333,injured,unprovoked,Fishing,tiger shark,male
1929,12,QLD,-19.45,146.6,fatal,unprovoked,Swimming,bull shark,male
1929,12,NSW,-33.71666667,151.3,injured,unprovoked,Swimming,wobbegong,female
1929,12,NSW,-33.85,151.1833333,fatal,unprovoked,Surfing/Boarding,bull shark,male
1929,12,QLD,-10.56666667,142.2166667,injured,unprovoked,Swimming,tiger shark,male
1929,12,QLD,-28.16666667,153.5333333,uninjured,unprovoked,Kayaking/Paddling,Unknown,male
1930,1,QLD,-10.15,142.1833333,injured,provoked,Fishing,tiger shark,male
1930,2,VIC,-37.9,144.9833333,fatal,unprovoked,Kayaking/Paddling,white shark,male
1930,2,QLD,-10.56666667,142.2166667,injured,unprovoked,Kayaking/Paddling,tiger shark,male
1930,6,QLD,-9.95,142.1833333,fatal,unprovoked,Surfing/Boarding,tiger shark,male
1930,7,QLD,-10.25,142.1,fatal,provoked,Swimming,tiger shark,male
1930,8,WA,-28.76666667,114.6,injured,provoked,Spearfishing,wobbegong,male
1930,12,NSW,-33.83333333,151.0666667,injured,unprovoked,Kayaking/Paddling,bull shark,male
1931,1,NSW,-33.8,151.2333333,injured,provoked,Spearfishing,wobbegong,male
1931,1,QLD,-23.11666667,150.7333333,injured,unprovoked,Diving/Snorkelling,tiger shark,male
1931,1,QLD,-10.58333333,142.2166667,injured,provoked,Swimming,tiger shark,male
1931,1,QLD,-10.56666667,142.2166667,injured,provoked,Swimming,tiger shark,male
1931,3,QLD,-19.45,146.6,fatal,provoked,Swimming,bull shark,male
1931,11,QLD,-17.53333333,146.0166667,injured,provoked,Kayaking/Paddling,tiger shark,male
1932,1,QLD,-27.6,152.7666667,injured,unprovoked,Surfing/Boarding,bull shark,male
1932,2,QLD,-23.83333333,151.2166667,injured,provoked,Swimming,bull shark,male
1932,2,NSW,-34.36666667,150.9166667,injured,provoked,Swimming,wobbegong,male
1932,5,QLD,-16.91666667,145.7666667,injured,provoked,Surfing/Boarding,tiger shark,male
1932,5,QLD,-9.4,142.6666667,fatal,unprovoked,Swimming,tiger shark,male
