Region,Council,Swim site,Year,Annual grade,Latitude,Longitude
Central Coast North,Central Coast Council,Magenta Beach,2025,Very Good,-33.313200000,151.526930000
Pittwater,Northern Beaches Council,South Scotland Island,2025,Good,-33.644454000,151.291354000
Ballina,Ballina Shire Council,Seven Mile Beach (Lennox Head),2025,Very Good,-28.785205000,153.594562000
Sydney Harbour,Willoughby City Council,Northbridge Baths,2025,Fair,-33.806043000,151.222754000
Northern Sydney,Northern Beaches Council,Avalon Beach,2025,Very Good,-33.635658000,151.332569000
Shoalhaven Coast,Shoalhaven City Council,Mollymook Beach,2025,Very Good,-35.338444000,150.474615000
Bellingen,Bellingen Shire Council,Lavenders Bridge,2025,Poor,-30.450540000,152.898835000
Central Coast North,Central Coast Council,Lighthouse Beach (Wyong),2025,Good,-33.279983330,151.572816700
Clarence Valley,Clarence Valley Council,Turners Beach,2025,Follow up,-29.430936000,153.364275000
Port Stephens,Port Stephens Council,Box Beach,2025,Very Good,-32.731465000,152.182696000
Botany Bay,Bayside Council,Brighton Le Sands Baths,2025,Poor,-33.963505000,151.157101000
Western Sydney,Penrith City Council,Penrith Beach,2025,Good,-33.694762000,150.675921000
Central Coast South,Central Coast Council,Pretty Beach Baths,2025,Poor,-33.526154000,151.349527000
Bellingen,Bellingen Shire Council,Arthur Keough Reserve (Never Never River),2025,Poor,-30.387369000,152.885173000
Central Coast North,Central Coast Council,Cabbage Tree Bay Rockpool,2025,Poor,-33.278928000,151.569532000
Central Coast South,Central Coast Council,Woy Woy Baths,2025,Good,-33.483857000,151.326165000
Sydney City,Waverley Council,Bronte Beach,2025,Good,-33.903087000,151.268790000
Northern Sydney,Northern Beaches Council,Turimetta Beach,2025,Good,-33.698084000,151.310937000
Eurobodalla Coast,Eurobodalla Shire Council,Surf Beach (Surf Beach),2025,Poor,-35.758699000,150.211296000
Illawarra Coast,Wollongong City Council,Coledale Beach,2025,Very Good,-34.287745000,150.949181000
Northern Sydney,Northern Beaches Council,Mona Vale Beach,2025,Good,-33.679704000,151.313981000
Port Hacking,Sutherland Shire Council,Gunnamatta Bay Baths,2025,Poor,-34.058030000,151.148630000
Northern Sydney,Northern Beaches Council,Bilarong Reserve,2025,Poor,-33.710668000,151.286896000
Central Coast North,Central Coast Council,Forrester's Beach,2025,Very Good,-33.413900000,151.464700000
Central Coast North,Central Coast Council,Summerland Point Baths (Sandy Beach Reserve),2025,Good,-33.138846000,151.556549000
Richmond Valley,Richmond Valley Council,Elm Street Bridge North (Evans River),2025,Poor,-29.121382000,153.431438000
Clarence Valley,Clarence Valley Council,Wooli Beach,2025,Follow up,-29.886200000,153.268072000
Southern Sydney,Sutherland Shire Council,North Cronulla Beach,2025,Very Good,-34.051010000,151.156590000
Northern Sydney,Northern Beaches Council,North Narrabeen Beach,2025,Good,-33.705557000,151.306407000
Shoalhaven Coast,Shoalhaven City Council,Merry Beach,2025,Very Good,-35.564567000,150.375469000
Sydney Harbour,Woollahra Municipal Council,Camp Cove,2025,Very Good,-33.839395000,151.278758000
Northern Sydney,Northern Beaches Council,Narrabeen Lagoon (Birdwood Park),2025,Poor,-33.703993000,151.304952000
Pittwater,Northern Beaches Council,Taylors Point Baths,2025,Good,-33.634883000,151.306718000
Sydney City,Randwick City Council,Clovelly Beach,2025,Good,-33.914578000,151.267659000
Sydney City,Randwick City Council,South Maroubra Beach,2025,Very Good,-33.951378000,151.257322000
Northern Sydney,Northern Beaches Council,Whale Beach,2025,Very Good,-33.611207000,151.332254000
Illawarra Coast,The Council of the Municipality of Kiama,Werri Beach,2025,Very Good,-34.742943000,150.833446000
Illawarra Coast,Wollongong City Council,Wollongong City Beach,2025,Very Good,-34.423562000,150.906887000
Ballina,Ballina Shire Council,Lake Ainsworth South,2025,Poor,-28.784633000,153.593218000
Pittwater,Northern Beaches Council,Paradise Beach Baths,2025,Good,-33.623802000,151.316489000
Northern Sydney,Northern Beaches Council,Freshwater Beach,2025,Good,-33.781640000,151.290760000
Illawarra Coast,Wollongong City Council,Corrimal Beach,2025,Good,-34.382585000,150.916759000
Ballina,Ballina Shire Council,Missingham Beach,2025,Poor,-28.871774000,153.573781000
Clarence Valley,Clarence Valley Council,Main Beach (Yamba),2025,Follow up,-29.435056000,153.364675000
Eurobodalla Coast,Eurobodalla Shire Council,Tuross Main Beach,2025,Good,-36.064065000,150.137862000
Illawarra Coast,Wollongong City Council,Coniston Beach,2025,Very Good,-34.436730000,150.901786000
Lake Macquarie,Lake Macquarie City Council,Redhead Beach,2025,Very Good,-33.015102000,151.718990000
Parkes,Parkes Shire Council,Lake Endeavour,2025,Good,-33.109760000,148.415025000
Botany Bay,Randwick City Council,Frenchmans Bay,2025,Poor,-33.987235000,151.231264000
Illawarra Coast,The Council of the Municipality of Kiama,Seven Mile Beach (Gerroa),2025,Good,-34.774380000,150.808820000
Bathurst,Bathurst Regional Council,Chifley Dam Playground Beach,2025,Follow up,-33.567555000,149.630194000
Central Coast South,Central Coast Council,Pearl Beach Rockpool,2025,Good,-33.545767000,151.309198000
Eurobodalla Coast,Eurobodalla Shire Council,South Broulee Beach (previously Bengello Beach),2025,Good,-35.858913000,150.175892000
Sydney City,Waverley Council,Tamarama Beach,2025,Good,-33.900805000,151.270734000
Sydney Harbour,City of Canada Bay Council,Chiswick Baths,2025,Good,-33.847168000,151.142892000
Central Coast North,Central Coast Council,Lakes Beach,2025,Very Good,-33.254206000,151.563358000
Botany Bay,Randwick City Council,Congwong Bay,2025,Good,-33.989325000,151.234813000
Clarence Valley,Clarence Valley Council,Minnie Water Beach,2025,Follow up,-29.769050000,153.297000000
Central Coast North,Central Coast Council,Chain Valley Bay,2025,Poor,-33.174778000,151.565583000
Georges River,Georges River Council,Carss Point Baths,2025,Poor,-33.991315000,151.119307000
Central Coast North,Central Coast Council,The Entrance Channel,2025,Poor,-33.345712000,151.502609000
Shoalhaven Coast,Shoalhaven City Council,Bawley Point Beach,2025,Very Good,-35.504620000,150.392290000
Sydney City,Randwick City Council,Coogee Beach,2025,Poor,-33.920760000,151.258170000
Central Coast South,Central Coast Council,Terrigal Beach,2025,Good,-33.446030000,151.444700000
Eurobodalla Coast,Eurobodalla Shire Council,Caseys Beach,2025,Good,-35.733625000,150.207073000
Clarence Valley,Clarence Valley Council,Corcoran Park,2025,Follow up,-29.677883000,152.953561000
Clarence Valley,Clarence Valley Council,Maclean Jetty,2025,Follow up,-29.457972000,153.195869000
Illawarra Coast,The Council of the Municipality of Kiama,Boyds Jones Beach,2025,Very Good,-34.639060000,150.856010000
Ballina,Ballina Shire Council,Shaws Bay East Arm,2025,Good,-28.870534000,153.583826000
Sydney Harbour,Inner West Council,Dawn Fraser Pool,2025,Good,-33.853237000,151.172823000
Northern Sydney,Northern Beaches Council,Dee Why Beach,2025,Good,-33.753299000,151.297338000
Central Coast South,Central Coast Council,Pearl Beach,2025,Very Good,-33.545200000,151.308100000
Central Coast South,Central Coast Council,Wamberal Lagoon,2025,Poor,-33.429113000,151.447429000
Northern Sydney,Northern Beaches Council,Newport Beach,2025,Very Good,-33.653976000,151.323750000
Pittwater,Northern Beaches Council,Clareville Beach,2025,Good,-33.634177000,151.311272000
Sydney Harbour,Mosman Municipal Council,Balmoral Baths,2025,Good,-33.826888000,151.253476000
Sydney Harbour,Northern Beaches Council,Forty Baskets Pool,2025,Good,-33.803133000,151.270604000
Illawarra Coast,Shellharbour City Council,Entrance Lagoon Beach,2025,Good,-34.544749000,150.870443000
Central Coast North,Central Coast Council,Blue Lagoon,2025,Good,-33.379332000,151.486003000
